[21:11:01] J9: Balón detectado: dist=3.70 ang=1.0 → bx=3.70, by=0.06
[21:11:01] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:01] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:01] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:01] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:02] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:02] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:02] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:02] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:02] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:03] J9: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:11:11] J9: Balón detectado: dist=44.70 ang=-57.0 → bx=24.35, by=-37.49
[21:11:11] J9: Balón detectado: dist=44.70 ang=-57.0 → bx=24.35, by=-37.49
[21:11:11] J9: Balón detectado: dist=44.70 ang=-4.0 → bx=44.59, by=-3.12
[21:11:11] J9: Balón detectado: dist=44.70 ang=0.0 → bx=44.70, by=0.00
[21:11:12] J9: Balón detectado: dist=44.70 ang=0.0 → bx=44.70, by=0.00
[21:11:12] J9: Balón detectado: dist=44.70 ang=0.0 → bx=44.70, by=0.00
[21:11:12] J9: Balón detectado: dist=44.70 ang=0.0 → bx=44.70, by=0.00
[21:11:12] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:12] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:13] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:13] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:13] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:13] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:14] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:14] J9: Balón detectado: dist=40.40 ang=0.0 → bx=40.40, by=0.00
[21:11:14] J9: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:11:14] J9: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:11:14] J9: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:11:15] J9: Balón detectado: dist=36.60 ang=0.0 → bx=36.60, by=0.00
[21:11:15] J9: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:11:15] J9: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:11:15] J9: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:11:16] J9: Balón detectado: dist=33.10 ang=0.0 → bx=33.10, by=0.00
[21:11:16] J9: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:11:16] J9: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:11:16] J9: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:11:17] J9: Balón detectado: dist=30.00 ang=0.0 → bx=30.00, by=0.00
[21:11:17] J9: Balón detectado: dist=27.10 ang=-1.0 → bx=27.10, by=-0.47
[21:11:17] J9: Balón detectado: dist=27.10 ang=-1.0 → bx=27.10, by=-0.47
[21:11:17] J9: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:11:17] J9: Balón detectado: dist=27.10 ang=0.0 → bx=27.10, by=0.00
[21:11:18] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:18] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:18] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:18] J9: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:11:19] J9: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:11:19] J9: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:11:19] J9: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:11:19] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:19] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:20] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:20] J9: Balón detectado: dist=16.40 ang=-1.0 → bx=16.40, by=-0.29
[21:11:20] J9: Balón detectado: dist=16.40 ang=-1.0 → bx=16.40, by=-0.29
[21:11:20] J9: Balón detectado: dist=14.90 ang=-1.0 → bx=14.90, by=-0.26
[21:11:21] J9: Balón detectado: dist=14.90 ang=-1.0 → bx=14.90, by=-0.26
[21:11:21] J9: Balón detectado: dist=13.50 ang=-1.0 → bx=13.50, by=-0.24
[21:11:21] J9: Balón detectado: dist=13.50 ang=-1.0 → bx=13.50, by=-0.24
[21:11:21] J9: Balón detectado: dist=12.20 ang=-1.0 → bx=12.20, by=-0.21
[21:11:21] J9: Balón detectado: dist=11.00 ang=-1.0 → bx=11.00, by=-0.19
[21:11:22] J9: Balón detectado: dist=10.00 ang=-1.0 → bx=10.00, by=-0.17
[21:11:22] J9: Balón detectado: dist=27.10 ang=-29.0 → bx=23.70, by=-13.14
[21:11:22] J9: Balón detectado: dist=27.10 ang=-6.0 → bx=26.95, by=-2.83
[21:11:22] J9: Balón detectado: dist=27.10 ang=-1.0 → bx=27.10, by=-0.47
[21:11:23] J9: Balón detectado: dist=27.10 ang=-1.0 → bx=27.10, by=-0.47
[21:11:23] J9: Balón detectado: dist=27.10 ang=-1.0 → bx=27.10, by=-0.47
[21:11:23] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:23] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:23] J9: Balón detectado: dist=24.50 ang=-1.0 → bx=24.50, by=-0.43
[21:11:24] J9: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:11:24] J9: Balón detectado: dist=22.20 ang=-1.0 → bx=22.20, by=-0.39
[21:11:24] J9: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:11:24] J9: Balón detectado: dist=20.10 ang=-2.0 → bx=20.09, by=-0.70
[21:11:25] J9: Balón detectado: dist=20.10 ang=-2.0 → bx=20.09, by=-0.70
[21:11:25] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:25] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:25] J9: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:11:26] J9: Balón detectado: dist=16.40 ang=-1.0 → bx=16.40, by=-0.29
[21:11:26] J9: Balón detectado: dist=16.40 ang=-1.0 → bx=16.40, by=-0.29
[21:11:26] J9: Balón detectado: dist=16.40 ang=-2.0 → bx=16.39, by=-0.57
[21:11:26] J9: Balón detectado: dist=14.90 ang=-1.0 → bx=14.90, by=-0.26
[21:11:26] J9: Balón detectado: dist=14.90 ang=-2.0 → bx=14.89, by=-0.52
[21:11:27] J9: Balón detectado: dist=13.50 ang=-2.0 → bx=13.49, by=-0.47
[21:11:27] J9: Balón detectado: dist=13.50 ang=-2.0 → bx=13.49, by=-0.47
[21:11:27] J9: Balón detectado: dist=12.20 ang=-2.0 → bx=12.19, by=-0.43
[21:11:27] J9: Balón detectado: dist=11.00 ang=-2.0 → bx=10.99, by=-0.38
[21:11:27] J9: Balón detectado: dist=10.00 ang=-2.0 → bx=9.99, by=-0.35
[21:11:28] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:11:28] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
[21:11:28] J9: Balón detectado: dist=8.20 ang=-3.0 → bx=8.19, by=-0.43
[21:11:28] J9: Balón detectado: dist=7.40 ang=-3.0 → bx=7.39, by=-0.39
[21:11:29] J9: Balón detectado: dist=6.00 ang=-3.0 → bx=5.99, by=-0.31
[21:11:29] J9: Balón detectado: dist=6.00 ang=-2.0 → bx=6.00, by=-0.21
[21:11:29] J9: Balón detectado: dist=5.50 ang=-2.0 → bx=5.50, by=-0.19
[21:11:29] J9: Balón detectado: dist=4.50 ang=-2.0 → bx=4.50, by=-0.16
[21:11:29] J9: Balón detectado: dist=4.50 ang=-2.0 → bx=4.50, by=-0.16
[21:11:30] J9: Balón detectado: dist=3.70 ang=-2.0 → bx=3.70, by=-0.13
[21:11:30] J9: Balón detectado: dist=3.00 ang=-2.0 → bx=3.00, by=-0.10
[21:11:30] J9: Balón detectado: dist=2.70 ang=-2.0 → bx=2.70, by=-0.09
[21:11:30] J9: Balón detectado: dist=2.20 ang=-3.0 → bx=2.20, by=-0.12
[21:11:31] J9: Balón detectado: dist=2.00 ang=-3.0 → bx=2.00, by=-0.10
[21:11:31] J9: Balón detectado: dist=1.60 ang=-3.0 → bx=1.60, by=-0.08
[21:11:31] J9: Balón detectado: dist=1.50 ang=-4.0 → bx=1.50, by=-0.10
[21:11:31] J9: Balón detectado: dist=1.20 ang=-1.0 → bx=1.20, by=-0.02
[21:11:31] J9: Balón detectado: dist=2.70 ang=-4.0 → bx=2.69, by=-0.19
[21:11:32] J9: Balón detectado: dist=5.50 ang=-2.0 → bx=5.50, by=-0.19
[21:11:32] J9: Balón detectado: dist=7.40 ang=-3.0 → bx=7.39, by=-0.39
[21:11:32] J9: Balón detectado: dist=9.00 ang=-3.0 → bx=8.99, by=-0.47
