[21:11:57] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:58] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:59] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:59] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:59] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:59] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:11:59] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:00] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:00] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:00] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:00] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:01] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:01] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:01] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:01] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:01] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:02] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:02] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:02] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:02] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:03] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:03] J7: Balón detectado: dist=9.00 ang=0.0 → bx=9.00, by=0.00
[21:12:03] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:03] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:03] J7: Balón detectado: dist=9.00 ang=1.0 → bx=9.00, by=0.16
[21:12:04] J7: Balón detectado: dist=8.20 ang=1.0 → bx=8.20, by=0.14
[21:12:04] J7: Balón detectado: dist=7.40 ang=1.0 → bx=7.40, by=0.13
[21:12:04] J7: Balón detectado: dist=6.70 ang=1.0 → bx=6.70, by=0.12
[21:12:04] J7: Balón detectado: dist=6.00 ang=2.0 → bx=6.00, by=0.21
[21:12:05] J7: Balón detectado: dist=5.50 ang=2.0 → bx=5.50, by=0.19
[21:12:05] J7: Balón detectado: dist=5.00 ang=2.0 → bx=5.00, by=0.17
[21:12:05] J7: Balón detectado: dist=4.10 ang=3.0 → bx=4.09, by=0.21
[21:12:05] J7: Balón detectado: dist=3.70 ang=4.0 → bx=3.69, by=0.26
[21:12:05] J7: Balón detectado: dist=3.70 ang=2.0 → bx=3.70, by=0.13
[21:12:06] J7: Balón detectado: dist=3.30 ang=2.0 → bx=3.30, by=0.12
[21:12:06] J7: Balón detectado: dist=3.30 ang=2.0 → bx=3.30, by=0.12
[21:12:06] J7: Balón detectado: dist=3.00 ang=3.0 → bx=3.00, by=0.16
[21:12:06] J7: Balón detectado: dist=5.00 ang=10.0 → bx=4.92, by=0.87
[21:12:07] J7: Balón detectado: dist=9.00 ang=12.0 → bx=8.80, by=1.87
[21:12:07] J7: Balón detectado: dist=13.50 ang=0.0 → bx=13.50, by=0.00
[21:12:07] J7: Balón detectado: dist=16.40 ang=0.0 → bx=16.40, by=0.00
[21:12:07] J7: Balón detectado: dist=18.20 ang=-1.0 → bx=18.20, by=-0.32
[21:12:07] J7: Balón detectado: dist=20.10 ang=-1.0 → bx=20.10, by=-0.35
[21:12:08] J7: Balón detectado: dist=22.20 ang=-2.0 → bx=22.19, by=-0.77
[21:12:08] J7: Balón detectado: dist=24.50 ang=-2.0 → bx=24.49, by=-0.86
[21:12:08] J7: Balón detectado: dist=24.50 ang=-2.0 → bx=24.49, by=-0.86
[21:12:08] J7: Balón detectado: dist=24.50 ang=-3.0 → bx=24.47, by=-1.28
